"genus","species","Common_Name","id","year","lat","long","elev","budburst","flowers","fruits","leafout","col.leaves","leafdrop","last.obs","gdd.start"
"Acer","rubrum","red maple",166763,2018,42.303822,-71.120308,13,NA,NA,NA,NA,272,NA,272,46
"Acer","rubrum","red maple",166763,2019,42.303822,-71.120308,13,103,97,115,115,269,269,269,46
"Acer","rubrum","red maple",166763,2020,42.303822,-71.120308,13,119,75,120,124,220,257,257,46
"Acer","rubrum","red maple",166763,2021,42.303822,-71.120308,13,101,86,104,114,NA,NA,NA,46
"Acer","rubrum","red maple",166763,2022,42.303822,-71.120308,13,105,77,105,125,NA,NA,NA,46
"Acer","rubrum","red maple",166763,2023,42.303822,-71.120308,13,NA,83,NA,NA,NA,NA,NA,46
"Acer","rubrum","red maple",166763,2024,42.303822,-71.120308,13,107,NA,117,121,NA,NA,NA,46
"Acer","rubrum","red maple",166764,2019,42.303822,-71.120308,13,103,95,NA,111,239,288,288,46
"Acer","rubrum","red maple",166764,2020,42.303822,-71.120308,13,119,80,NA,119,257,257,257,46
"Acer","rubrum","red maple",166764,2021,42.303822,-71.120308,13,NA,86,NA,114,NA,NA,NA,46
"Acer","rubrum","red maple",166764,2022,42.303822,-71.120308,13,113,87,NA,119,NA,NA,NA,46
"Acer","rubrum","red maple",166764,2023,42.303822,-71.120308,13,NA,83,NA,NA,NA,NA,NA,46
"Acer","rubrum","red maple",166764,2024,42.303822,-71.120308,13,107,NA,NA,117,NA,NA,NA,46
"Acer","rubrum","red maple",166765,2018,42.303822,-71.120308,13,NA,NA,NA,NA,NA,293,293,46
"Acer","rubrum","red maple",166765,2019,42.303822,-71.120308,13,91,86,NA,111,NA,263,263,46
"Acer","rubrum","red maple",166765,2020,42.303822,-71.120308,13,105,71,NA,120,220,257,257,46
"Acer","rubrum","red maple",166765,2021,42.303822,-71.120308,13,101,81,NA,114,236,268,268,46
"Acer","rubrum","red maple",166765,2022,42.303822,-71.120308,13,103,65,NA,113,153,202,202,46
"Acer","rubrum","red maple",166765,2023,42.303822,-71.120308,13,102,NA,NA,104,231,263,263,46
"Acer","rubrum","red maple",166765,2024,42.303822,-71.120308,13,104,NA,NA,111,227,NA,227,46
"Acer","rubrum","red maple",166766,2019,42.303822,-71.120308,13,107,92,NA,111,286,293,293,46
"Acer","rubrum","red maple",166766,2020,42.303822,-71.120308,13,120,NA,NA,120,258,271,271,46
"Acer","rubrum","red maple",166767,2019,42.303822,-71.120308,13,106,92,117,115,269,286,286,46
"Acer","rubrum","red maple",166767,2020,42.303822,-71.120308,13,120,NA,124,120,258,271,271,46
"Acer","rubrum","red maple",166767,2021,42.303822,-71.120308,13,NA,93,109,122,NA,NA,NA,46
"Acer","saccharum","sugar maple",92203,2015,42.303822,-71.120308,13,NA,NA,NA,NA,280,287,287,46
"Acer","saccharum","sugar maple",92203,2016,42.303822,-71.120308,13,130,NA,NA,133,288,315,315,46
"Acer","saccharum","sugar maple",92203,2017,42.303822,-71.120308,13,127,NA,NA,131,294,294,294,46
"Acer","saccharum","sugar maple",92203,2018,42.303822,-71.120308,13,125,NA,NA,127,285,292,292,46
"Acer","saccharum","sugar maple",92203,2019,42.303822,-71.120308,13,120,NA,NA,126,260,285,285,46
"Acer","saccharum","sugar maple",92203,2020,42.303822,-71.120308,13,126,NA,NA,133,253,271,271,46
"Acer","saccharum","sugar maple",92203,2021,42.303822,-71.120308,13,109,121,134,126,276,276,276,46
"Acer","saccharum","sugar maple",92203,2022,42.303822,-71.120308,13,125,NA,NA,133,266,266,266,46
"Acer","saccharum","sugar maple",92203,2023,42.303822,-71.120308,13,118,108,121,118,274,269,269,46
"Acer","saccharum","sugar maple",92203,2024,42.303822,-71.120308,13,124,NA,NA,128,NA,NA,NA,46
"Acer","saccharum","sugar maple",92204,2015,42.303822,-71.120308,13,NA,NA,NA,NA,280,280,280,46
"Acer","saccharum","sugar maple",92204,2016,42.303822,-71.120308,13,109,108,125,112,293,315,315,46
"Acer","saccharum","sugar maple",92204,2017,42.303822,-71.120308,13,101,105,127,108,271,276,276,46
"Acer","saccharum","sugar maple",92204,2018,42.303822,-71.120308,13,NA,119,264,125,285,285,285,46
"Acer","saccharum","sugar maple",92204,2019,42.303822,-71.120308,13,106,107,126,111,279,278,278,46
"Acer","saccharum","sugar maple",92204,2020,42.303822,-71.120308,13,122,108,162,121,291,291,291,46
"Acer","saccharum","sugar maple",92204,2021,42.303822,-71.120308,13,101,91,121,103,276,276,276,46
"Acer","saccharum","sugar maple",92204,2022,42.303822,-71.120308,13,125,NA,NA,125,153,285,285,46
"Acer","saccharum","sugar maple",92204,2023,42.303822,-71.120308,13,102,88,121,104,274,274,274,46
"Acer","saccharum","sugar maple",92204,2024,42.303822,-71.120308,13,121,NA,NA,121,276,283,283,46
"Acer","saccharum","sugar maple",92206,2015,42.303822,-71.120308,13,NA,NA,NA,NA,280,280,280,46
"Acer","saccharum","sugar maple",92206,2016,42.303822,-71.120308,13,115,111,144,117,293,NA,293,46
"Acer","saccharum","sugar maple",92206,2017,42.303822,-71.120308,13,107,105,139,113,252,259,259,46
"Acer","saccharum","sugar maple",92206,2018,42.303822,-71.120308,13,NA,NA,NA,132,287,293,293,46
"Acer","saccharum","sugar maple",92206,2019,42.303822,-71.120308,13,109,NA,NA,111,263,263,263,46
"Acer","saccharum","sugar maple",92206,2020,42.303822,-71.120308,13,121,NA,NA,124,290,290,290,46
"Acer","saccharum","sugar maple",92208,2015,42.303822,-71.120308,13,NA,NA,NA,NA,280,280,280,46
"Acer","saccharum","sugar maple",92208,2016,42.303822,-71.120308,13,121,118,NA,130,286,NA,286,46
"Acer","saccharum","sugar maple",92208,2017,42.303822,-71.120308,13,101,108,127,113,288,NA,288,46
"Acer","saccharum","sugar maple",92208,2018,42.303822,-71.120308,13,NA,NA,NA,132,272,276,276,46
"Acer","saccharum","sugar maple",92208,2019,42.303822,-71.120308,13,109,NA,NA,120,276,269,269,46
"Acer","saccharum","sugar maple",92208,2020,42.303822,-71.120308,13,121,NA,NA,124,278,290,290,46
"Acer","saccharum","sugar maple",92209,2016,42.296417,-71.128052,26,116,110,NA,130,249,249,249,46
"Acer","saccharum","sugar maple",92209,2017,42.296417,-71.128052,26,102,109,125,108,254,254,254,46
"Acer","saccharum","sugar maple",92209,2018,42.296417,-71.128052,26,NA,NA,NA,122,287,292,292,46
"Acer","saccharum","sugar maple",92209,2019,42.296417,-71.128052,26,209,NA,NA,115,285,285,285,46
"Acer","saccharum","sugar maple",92209,2020,42.296417,-71.128052,26,112,112,NA,123,260,261,261,46
"Acer","saccharum","sugar maple",92209,2021,42.296417,-71.128052,26,99,96,118,110,289,301,301,46
"Acer","saccharum","sugar maple",92209,2022,42.296417,-71.128052,26,106,NA,NA,117,281,285,285,46
"Acer","saccharum","sugar maple",92209,2023,42.296417,-71.128052,26,NA,98,NA,NA,NA,NA,NA,46
"Acer","saccharum","sugar maple",92209,2024,42.296417,-71.128052,26,NA,NA,NA,116,277,277,277,46
"Aesculus","flava","yellow buckeye",85751,2015,42.305161,-71.122452,13,NA,NA,NA,165,NA,NA,NA,46
"Aesculus","flava","yellow buckeye",85751,2016,42.305161,-71.122452,13,105,110,156,108,274,282,282,46
"Aesculus","flava","yellow buckeye",85751,2017,42.305161,-71.122452,13,108,119,NA,108,NA,NA,NA,46
"Aesculus","flava","yellow buckeye",85751,2018,42.305161,-71.122452,13,117,117,151,122,199,NA,199,46
"Aesculus","flava","yellow buckeye",85751,2019,42.305161,-71.122452,13,NA,111,237,111,163,243,243,46
"Aesculus","flava","yellow buckeye",85751,2020,42.305161,-71.122452,13,101,108,147,112,197,206,206,46
"Aesculus","flava","yellow buckeye",85751,2021,42.305161,-71.122452,13,NA,73,NA,100,NA,NA,NA,46
"Aesculus","flava","yellow buckeye",85755,2015,42.305161,-71.122452,13,NA,NA,NA,165,255,NA,255,46
"Aesculus","flava","yellow buckeye",85755,2016,42.305161,-71.122452,13,111,113,156,112,260,282,282,46
"Aesculus","flava","yellow buckeye",85755,2017,42.305161,-71.122452,13,108,108,NA,108,267,NA,267,46
"Aesculus","flava","yellow buckeye",85755,2018,42.305161,-71.122452,13,114,117,145,117,159,272,272,46
"Aesculus","flava","yellow buckeye",85755,2019,42.305161,-71.122452,13,NA,NA,NA,115,272,272,272,46
"Aesculus","flava","yellow buckeye",85755,2020,42.305161,-71.122452,13,NA,NA,203,112,250,250,250,46
"Aesculus","flava","yellow buckeye",85756,2015,42.305161,-71.122452,13,NA,NA,NA,165,255,255,255,46
"Aesculus","flava","yellow buckeye",85756,2016,42.305161,-71.122452,13,110,112,156,112,262,279,279,46
"Aesculus","flava","yellow buckeye",85756,2017,42.305161,-71.122452,13,108,108,NA,108,NA,NA,NA,46
"Aesculus","flava","yellow buckeye",85756,2018,42.305161,-71.122452,13,114,117,145,117,NA,NA,NA,46
"Aesculus","flava","yellow buckeye",85756,2019,42.305161,-71.122452,13,NA,NA,NA,124,NA,272,272,46
"Aesculus","flava","yellow buckeye",85756,2020,42.305161,-71.122452,13,NA,NA,NA,112,189,213,213,46
"Aesculus","flava","yellow buckeye",85757,2016,42.296417,-71.128052,26,114,129,166,116,189,NA,189,46
"Aesculus","flava","yellow buckeye",85757,2017,42.296417,-71.128052,26,107,NA,254,114,247,256,256,46
"Aesculus","flava","yellow buckeye",85757,2018,42.296417,-71.128052,26,116,124,148,117,260,260,260,46
"Aesculus","flava","yellow buckeye",85757,2019,42.296417,-71.128052,26,104,115,152,109,257,257,257,46
"Aesculus","flava","yellow buckeye",85757,2020,42.296417,-71.128052,26,119,120,155,120,190,207,207,46
"Aesculus","flava","yellow buckeye",85757,2021,42.296417,-71.128052,26,110,117,143,110,272,289,289,46
"Aesculus","flava","yellow buckeye",85757,2022,42.296417,-71.128052,26,115,115,140,115,199,NA,199,46
"Aesculus","flava","yellow buckeye",85757,2023,42.296417,-71.128052,26,NA,112,143,112,268,NA,268,46
"Aesculus","flava","yellow buckeye",85757,2024,42.296417,-71.128052,26,108,116,148,113,245,254,254,46
"Aesculus","flava","yellow buckeye",85758,2015,42.305161,-71.122452,13,NA,NA,NA,NA,218,NA,218,46
"Aesculus","flava","yellow buckeye",85758,2016,42.305161,-71.122452,13,110,112,144,112,252,290,290,46
"Aesculus","flava","yellow buckeye",85758,2017,42.305161,-71.122452,13,101,108,136,108,NA,NA,NA,46
"Aesculus","flava","yellow buckeye",85758,2018,42.305161,-71.122452,13,112,116,151,116,178,192,192,46
"Aesculus","flava","yellow buckeye",85758,2019,42.305161,-71.122452,13,107,107,142,107,185,243,243,46
"Aesculus","flava","yellow buckeye",85758,2020,42.305161,-71.122452,13,105,108,147,111,183,206,206,46
"Aesculus","flava","yellow buckeye",85758,2021,42.305161,-71.122452,13,98,98,134,98,196,268,268,46
"Aesculus","flava","yellow buckeye",85758,2022,42.305161,-71.122452,13,106,109,138,107,202,202,202,46
"Aesculus","flava","yellow buckeye",85758,2023,42.305161,-71.122452,13,102,103,128,104,231,263,263,46
"Aesculus","flava","yellow buckeye",85758,2024,42.305161,-71.122452,13,106,107,144,107,227,NA,227,46
"Betula","alleghaniensis","yellow birch",85759,2015,42.301922,-71.123932,36,NA,150,191,NA,250,278,278,46
"Betula","alleghaniensis","yellow birch",85759,2016,42.301922,-71.123932,36,109,104,207,114,278,281,281,46
"Betula","alleghaniensis","yellow birch",85759,2017,42.301922,-71.123932,36,102,118,156,117,242,251,251,46
"Betula","alleghaniensis","yellow birch",85759,2018,42.301922,-71.123932,36,118,118,151,122,256,277,277,46
"Betula","alleghaniensis","yellow birch",85759,2019,42.301922,-71.123932,36,107,109,142,114,249,262,262,46
"Betula","alleghaniensis","yellow birch",85759,2020,42.301922,-71.123932,36,110,119,160,126,257,257,257,46
"Betula","alleghaniensis","yellow birch",85759,2021,42.301922,-71.123932,36,108,100,152,114,261,261,261,46
"Betula","alleghaniensis","yellow birch",85759,2022,42.301922,-71.123932,36,105,126,147,125,250,250,250,46
"Betula","alleghaniensis","yellow birch",85759,2023,42.301922,-71.123932,36,104,77,139,104,256,256,256,46
"Betula","alleghaniensis","yellow birch",85759,2024,42.301922,-71.123932,36,NA,NA,159,124,NA,NA,NA,46
"Betula","alleghaniensis","yellow birch",85761,2015,42.301922,-71.123932,36,NA,150,202,NA,270,NA,270,46
"Betula","alleghaniensis","yellow birch",85761,2016,42.301922,-71.123932,36,112,101,207,119,271,284,284,46
"Betula","alleghaniensis","yellow birch",85761,2017,42.301922,-71.123932,36,102,118,149,118,242,242,242,46
"Betula","alleghaniensis","yellow birch",85761,2018,42.301922,-71.123932,36,114,122,140,123,266,277,277,46
"Betula","alleghaniensis","yellow birch",85761,2019,42.301922,-71.123932,36,107,110,157,122,260,264,264,46
"Betula","alleghaniensis","yellow birch",85761,2020,42.301922,-71.123932,36,112,85,184,126,258,271,271,46
"Betula","alleghaniensis","yellow birch",85762,2015,42.301922,-71.123932,36,NA,150,187,NA,250,250,250,46
"Betula","alleghaniensis","yellow birch",85762,2016,42.301922,-71.123932,36,102,111,182,114,260,281,281,46
"Betula","alleghaniensis","yellow birch",85762,2017,42.301922,-71.123932,36,102,118,156,117,242,242,242,46
"Betula","alleghaniensis","yellow birch",85762,2018,42.301922,-71.123932,36,114,118,144,122,272,277,277,46
"Betula","alleghaniensis","yellow birch",85762,2019,42.301922,-71.123932,36,107,109,159,110,249,261,261,46
"Betula","alleghaniensis","yellow birch",85762,2020,42.301922,-71.123932,36,108,85,160,126,226,271,271,46
"Betula","alleghaniensis","yellow birch",85763,2015,42.301922,-71.123932,36,NA,167,194,NA,282,282,282,46
"Betula","alleghaniensis","yellow birch",85763,2016,42.301922,-71.123932,36,110,111,207,121,281,289,289,46
"Betula","alleghaniensis","yellow birch",85763,2017,42.301922,-71.123932,36,102,120,156,117,288,288,288,46
"Betula","alleghaniensis","yellow birch",85763,2018,42.301922,-71.123932,36,118,111,154,122,277,277,277,46
"Betula","alleghaniensis","yellow birch",85763,2019,42.301922,-71.123932,36,112,112,258,122,265,265,265,46
"Betula","alleghaniensis","yellow birch",85763,2020,42.301922,-71.123932,36,120,120,264,126,271,271,271,46
"Betula","alleghaniensis","yellow birch",85764,2015,42.301922,-71.123932,36,NA,178,191,NA,247,250,250,46
"Betula","alleghaniensis","yellow birch",85764,2016,42.301922,-71.123932,36,102,111,187,114,260,260,260,46
"Betula","alleghaniensis","yellow birch",85764,2017,42.301922,-71.123932,36,102,108,144,117,218,253,253,46
"Betula","alleghaniensis","yellow birch",85764,2018,42.301922,-71.123932,36,114,118,159,121,264,277,277,46
"Betula","alleghaniensis","yellow birch",85764,2019,42.301922,-71.123932,36,106,109,141,110,261,261,261,46
"Betula","alleghaniensis","yellow birch",85764,2020,42.301922,-71.123932,36,105,196,NA,119,220,244,244,46
"Betula","nigra","river birch",86258,2015,42.301922,-71.123932,36,NA,NA,NA,NA,282,282,282,46
"Betula","nigra","river birch",86258,2016,42.301922,-71.123932,36,114,124,NA,132,281,281,281,46
"Betula","nigra","river birch",86258,2017,42.301922,-71.123932,36,100,112,149,118,235,241,241,46
"Betula","nigra","river birch",86258,2018,42.301922,-71.123932,36,125,122,154,125,294,294,294,46
"Betula","nigra","river birch",86258,2019,42.301922,-71.123932,36,112,111,155,126,264,249,249,46
"Betula","nigra","river birch",86258,2020,42.301922,-71.123932,36,126,85,160,128,271,271,271,46
"Betula","nigra","river birch",86259,2015,42.301922,-71.123932,36,NA,150,NA,NA,218,270,270,46
"Betula","nigra","river birch",86259,2016,42.301922,-71.123932,36,111,111,161,127,210,260,260,46
"Betula","nigra","river birch",86259,2017,42.301922,-71.123932,36,100,112,139,108,202,202,202,46
"Betula","nigra","river birch",86259,2018,42.301922,-71.123932,36,118,122,151,125,243,243,243,46
"Betula","nigra","river birch",86259,2019,42.301922,-71.123932,36,107,114,150,122,214,214,214,46
"Betula","nigra","river birch",86259,2020,42.301922,-71.123932,36,126,120,160,128,197,197,197,46
"Betula","nigra","river birch",86259,2022,42.301922,-71.123932,36,NA,105,NA,NA,NA,NA,NA,46
"Betula","nigra","river birch",86259,2024,42.301922,-71.123932,36,110,111,NA,124,NA,NA,NA,46
"Betula","nigra","river birch",86260,2015,42.301922,-71.123932,36,142,150,NA,313,218,240,240,46
"Betula","nigra","river birch",86260,2016,42.301922,-71.123932,36,111,114,147,125,246,260,260,46
"Betula","nigra","river birch",86260,2017,42.301922,-71.123932,36,101,109,136,117,209,230,230,46
"Betula","nigra","river birch",86260,2018,42.301922,-71.123932,36,118,122,138,122,250,257,257,46
"Betula","nigra","river birch",86260,2019,42.301922,-71.123932,36,107,107,152,122,230,230,230,46
"Betula","nigra","river birch",86260,2020,42.301922,-71.123932,36,126,120,147,133,197,197,197,46
"Betula","nigra","river birch",86260,2021,42.301922,-71.123932,36,114,114,134,122,261,261,261,46
"Betula","nigra","river birch",86260,2022,42.301922,-71.123932,36,103,103,147,125,238,215,215,46
"Betula","nigra","river birch",86260,2023,42.301922,-71.123932,36,104,101,139,108,231,235,235,46
"Betula","nigra","river birch",86260,2024,42.301922,-71.123932,36,121,104,NA,121,257,257,257,46
"Betula","nigra","river birch",86261,2015,42.301922,-71.123932,36,NA,150,NA,NA,250,270,270,46
"Betula","nigra","river birch",86261,2016,42.301922,-71.123932,36,114,124,NA,130,279,289,289,46
"Betula","nigra","river birch",86261,2017,42.301922,-71.123932,36,100,118,149,118,250,247,247,46
"Betula","nigra","river birch",86261,2018,42.301922,-71.123932,36,122,122,154,122,272,272,272,46
"Betula","nigra","river birch",86261,2019,42.301922,-71.123932,36,111,111,NA,126,237,251,251,46
"Betula","nigra","river birch",86261,2020,42.301922,-71.123932,36,126,120,160,128,258,271,271,46
"Betula","nigra","river birch",87754,2015,42.301922,-71.123932,36,NA,150,NA,NA,218,240,240,46
"Betula","nigra","river birch",87754,2016,42.301922,-71.123932,36,112,124,162,130,281,284,284,46
"Betula","nigra","river birch",87754,2017,42.301922,-71.123932,36,101,125,149,118,230,241,241,46
"Betula","nigra","river birch",87754,2018,42.301922,-71.123932,36,122,125,154,125,251,256,256,46
"Betula","nigra","river birch",87754,2019,42.301922,-71.123932,36,110,112,157,126,237,239,239,46
"Betula","nigra","river birch",87754,2020,42.301922,-71.123932,36,126,120,160,126,226,271,271,46
"Carya","glabra","pignut hickory",86262,2016,42.30024,-71.12606,33,NA,143,150,143,285,NA,285,46
"Carya","glabra","pignut hickory",86262,2017,42.30024,-71.12606,33,118,126,251,120,251,NA,251,46
"Carya","glabra","pignut hickory",86262,2018,42.30024,-71.12606,33,123,126,153,126,249,256,256,46
"Carya","glabra","pignut hickory",86262,2019,42.30024,-71.12606,33,111,124,151,124,261,264,264,46
"Carya","glabra","pignut hickory",86262,2020,42.30024,-71.12606,33,125,149,168,136,262,NA,262,46
"Carya","glabra","pignut hickory",86262,2021,42.30024,-71.12606,33,NA,131,NA,136,265,NA,265,46
"Carya","glabra","pignut hickory",86262,2022,42.30024,-71.12606,33,119,136,157,126,NA,NA,NA,46
"Carya","glabra","pignut hickory",86262,2023,42.30024,-71.12606,33,NA,129,150,129,NA,NA,NA,46
"Carya","glabra","pignut hickory",86263,2016,42.30024,-71.12606,33,118,122,150,118,NA,NA,NA,46
"Carya","glabra","pignut hickory",86263,2017,42.30024,-71.12606,33,110,118,166,118,253,253,253,46
"Carya","glabra","pignut hickory",86263,2018,42.30024,-71.12606,33,118,122,153,122,258,258,258,46
"Carya","glabra","pignut hickory",86263,2019,42.30024,-71.12606,33,108,128,145,111,253,264,264,46
"Carya","glabra","pignut hickory",86263,2020,42.30024,-71.12606,33,125,127,168,127,259,NA,259,46
"Carya","glabra","pignut hickory",86263,2021,42.30024,-71.12606,33,113,131,146,115,NA,NA,NA,46
"Carya","glabra","pignut hickory",86263,2022,42.30024,-71.12606,33,114,126,NA,116,251,NA,251,46
"Carya","glabra","pignut hickory",86263,2023,42.30024,-71.12606,33,104,NA,NA,112,NA,NA,NA,46
"Carya","glabra","pignut hickory",86263,2024,42.30024,-71.12606,33,NA,NA,NA,123,NA,NA,NA,46
"Carya","glabra","pignut hickory",86264,2016,42.30024,-71.12606,33,110,NA,166,118,NA,NA,NA,46
"Carya","glabra","pignut hickory",86264,2017,42.30024,-71.12606,33,100,NA,241,114,253,253,253,46
"Carya","glabra","pignut hickory",86264,2018,42.30024,-71.12606,33,119,NA,153,122,249,256,256,46
"Carya","glabra","pignut hickory",86264,2019,42.30024,-71.12606,33,108,132,188,111,251,264,264,46
"Carya","glabra","pignut hickory",86264,2020,42.30024,-71.12606,33,119,NA,220,127,262,NA,262,46
"Carya","glabra","pignut hickory",86264,2021,42.30024,-71.12606,33,NA,NA,146,113,NA,NA,NA,46
"Carya","glabra","pignut hickory",86264,2022,42.30024,-71.12606,33,112,126,NA,116,NA,NA,NA,46
"Carya","glabra","pignut hickory",86264,2023,42.30024,-71.12606,33,104,NA,137,104,NA,NA,NA,46
"Carya","glabra","pignut hickory",86264,2024,42.30024,-71.12606,33,NA,NA,NA,123,NA,NA,NA,46
"Carya","glabra","pignut hickory",86265,2015,42.30024,-71.12606,33,NA,NA,161,NA,NA,NA,NA,46
"Carya","glabra","pignut hickory",86265,2016,42.30024,-71.12606,33,122,130,150,122,285,285,285,46
"Carya","glabra","pignut hickory",86265,2017,42.30024,-71.12606,33,100,118,166,118,253,253,253,46
"Carya","glabra","pignut hickory",86265,2018,42.30024,-71.12606,33,NA,131,153,123,258,288,288,46
"Carya","glabra","pignut hickory",86265,2019,42.30024,-71.12606,33,108,128,155,115,260,264,264,46
"Carya","glabra","pignut hickory",86265,2020,42.30024,-71.12606,33,125,127,168,127,251,NA,251,46
"Carya","glabra","pignut hickory",86265,2021,42.30024,-71.12606,33,118,126,152,123,243,270,270,46
"Carya","glabra","pignut hickory",86265,2022,42.30024,-71.12606,33,114,126,NA,116,251,NA,251,46
"Carya","glabra","pignut hickory",86265,2023,42.30024,-71.12606,33,104,NA,NA,112,NA,NA,NA,46
"Carya","glabra","pignut hickory",86265,2024,42.30024,-71.12606,33,NA,128,NA,123,NA,NA,NA,46
"Carya","glabra","pignut hickory",86266,2016,42.30024,-71.12606,33,118,118,150,122,285,285,285,46
"Carya","glabra","pignut hickory",86266,2017,42.30024,-71.12606,33,100,117,147,117,253,253,253,46
"Carya","glabra","pignut hickory",86266,2018,42.30024,-71.12606,33,118,122,153,122,258,288,288,46
"Carya","glabra","pignut hickory",86266,2019,42.30024,-71.12606,33,108,115,145,111,251,264,264,46
