Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Georeference Source,Accuracy,Certainty,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone,Of Conservation Concern
1104-81*A,1104-81,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc.",,,Withe-rod,Shrub,1104-81,04-13-1982,Cutting,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,V,X,VA,"Mr. Gary L. Koller, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Koller, G. L.",,07-18-1981,United States,Massachusetts,,"along shoreline of Mary Dunn Pond, near Hyannis",,,,,,,,,edge of woodland,,,,"Leucothoe racemosa, Nemopanthus mucronatus, Pinus rigida, Quercus sp., Vaccinium corymbosum",50-NE,50,NE,42.295173,-71.12621128,2021-05-28,Good,,2021-05-28,,,,,2.0,M,C,,,,,4.13,No
111-2019*S,111-2019,Pinaceae,Pinus,strobus,,Pinus strobus,Accepted name,1993. Flora of North America. Pteridophytes and Gymnosperms. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1002.,,,"Eastern White Pine, Weymouth's Pine, Northern White Pine",Tree,111-2019,04-09-2019,Plant,Pinus strobus,P. strobus,,,From a cultivated plant not of known wild origin,,,,"Morningstar Nurseries, Llc, West Kingston, RI, United States",,,Items 410000017777 and 410000009987,,,,,,,,,,,,,,,,,,,,,,,WH1-SW,WH1,SW,42.29543839,-71.13435383,2022-06-14,Good,,2022-06-14,8.6,C,,,,,,,,,,7.2,No
1196-84*A,1196-84,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,,Red Maple,Tree,1196-84,10-15-1984,Plant,Acer rubrum,A. rubrum,,,Collected directly from the wild; origin known,XX,X,SA,"Mr. Gary L. Koller, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Koller, G. L.",,10-12-1984,United States,"Massachusetts, Norfolk County",,"Blue Hills Reservation, near intersection of Rte. 128 and Ponkapoag Trail, along access road to Ponkapoag Pond",,,,,,,,,,,,,,11-NE,11,NE,42.30388171,-71.12019927,2019-10-07,Good,,2019-09-24,27.3,C,,,,,,,,,,1.6,No
1199*J,1199,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,,River Birch,Tree,1199,07-17-1877,Seed,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,,X,,,,,,,,"Dawson, L. Y.",,,United States,"Massachusetts, Lowell",,,,,,,,,,,,,,,,13-NE,13,NE,42.30252077,-71.12397574,2024-08-16,Fair,,2024-08-16,89.1,C,,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula nigra, 3",2.9,No
12843*H,12843,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis,Accepted name,"Little, E.L.Jr. 1953. Check List of Native and Naturalized Trees of the United States (Including Alaska). (Agricultural Handbook No. 41). Washington, D.C.: U. S. Forest Service. 472 pp.",,"Betula lutea var. alleghaniensis, Betula lutea",Yellow Birch,Tree,12843,10-15-1900,Plant,"Betula lutea, B. alleghaniensis",Bet. alleghan.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Maine, Bar Harbor",,,,,,,,,,,,,,,,14-SW,14,SW,42.30199149,-71.12371027,2017-12-31,Alive,,2017-06-29,64.6,C,,,,,,,,,"McAllister, Hugh, 01 Oct 2012, Betula x caerulea, 3",2.10,No
12843*A,12843,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis,Accepted name,"Little, E.L.Jr. 1953. Check List of Native and Naturalized Trees of the United States (Including Alaska). (Agricultural Handbook No. 41). Washington, D.C.: U. S. Forest Service. 472 pp.",,"Betula lutea var. alleghaniensis, Betula lutea",Yellow Birch,Tree,12843,10-15-1900,Plant,"Betula lutea, B. alleghaniensis",Bet. alleghan.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Maine, Bar Harbor",,,,,,,,,,,,,,,,14-SW,14,SW,42.3020682,-71.12386246,2017-12-31,Alive,,,73.8,C,,,,,,,,,,2.10,No
12843*D,12843,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis,Accepted name,"Little, E.L.Jr. 1953. Check List of Native and Naturalized Trees of the United States (Including Alaska). (Agricultural Handbook No. 41). Washington, D.C.: U. S. Forest Service. 472 pp.",,"Betula lutea var. alleghaniensis, Betula lutea",Yellow Birch,Tree,12843,10-15-1900,Plant,"Betula lutea, B. alleghaniensis",Bet. alleghan.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Maine, Bar Harbor",,,,,,,,,,,,,,,,14-SW,14,SW,42.302041,-71.12388059,2017-12-31,Alive,,2017-06-29,70.9,C,at ca. .5m,,,,,,,,,2.10,No
12907*B,12907,Juglandaceae,Carya,ovata,,Carya ovata var. ovata,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,"Carya ovata var. fraxinifolia, Carya ovata var. pubescens, Carya ovata var. nuttallii",Shagbark Hickory,Tree,12907,10-18-1883,Seed,"Carya alba, Hickoria [Hicoria] ovata, Carya ovata, C. ovata cf. var. fraxinifolia, C. ovata",Carya ov. var. ovata,var.,ovata,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C. E., Dawson, J. T.","129-153, 155-158",,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,Estimated,Within 5 km of the coordinates.,"Probable - close match for the locality name in the gazetteer or map, with possible, although unlikely, ambiguity.",,,,,,,,,,,19-NW,19,NW,42.30172976,-71.12580046,2023-10-23,Good,,2023-10-23,54.8,C,,,,,,,,,,3.2,No
12907*D,12907,Juglandaceae,Carya,ovata,,Carya ovata var. ovata,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,"Carya ovata var. fraxinifolia, Carya ovata var. pubescens, Carya ovata var. nuttallii",Shagbark Hickory,Tree,12907,10-18-1883,Seed,"Carya alba, Hickoria [Hicoria] ovata, Carya ovata, C. ovata cf. var. fraxinifolia, C. ovata",Carya ov. var. ovata,var.,ovata,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C. E., Dawson, J. T.","129-153, 155-158",,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,Estimated,Within 5 km of the coordinates.,"Probable - close match for the locality name in the gazetteer or map, with possible, although unlikely, ambiguity.",,,,,,,,,,,19-NW,19,NW,42.30168923,-71.12587438,2023-10-23,Good,,2023-10-23,51.8,C,,,,,,,,,,3.2,No
12907*I,12907,Juglandaceae,Carya,ovata,,Carya ovata var. ovata,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,"Carya ovata var. fraxinifolia, Carya ovata var. pubescens, Carya ovata var. nuttallii",Shagbark Hickory,Tree,12907,10-18-1883,Seed,"Carya alba, Hickoria [Hicoria] ovata, Carya ovata, C. ovata cf. var. fraxinifolia, C. ovata",Carya ov. var. ovata,var.,ovata,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C. E., Dawson, J. T.","129-153, 155-158",,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,Estimated,Within 5 km of the coordinates.,"Probable - close match for the locality name in the gazetteer or map, with possible, although unlikely, ambiguity.",,,,,,,,,,,19-NW,19,NW,42.30185516,-71.12559225,2023-10-23,Good,,2023-10-23,51.0,C,,,,,,,,,"Michener, D., 01 Jan 1987, Carya ovata var. fraxinifolia, 2; Dosmann, M., 25 Sep 2020, Carya ovata var. ovata, 3",3.2,No
12907*N,12907,Juglandaceae,Carya,ovata,,Carya ovata var. ovata,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,"Carya ovata var. fraxinifolia, Carya ovata var. pubescens, Carya ovata var. nuttallii",Shagbark Hickory,Tree,12907,10-18-1883,Seed,"Carya alba, Hickoria [Hicoria] ovata, Carya ovata, C. ovata cf. var. fraxinifolia, C. ovata",Carya ov. var. ovata,var.,ovata,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C. E., Dawson, J. T.","129-153, 155-158",,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,Estimated,Within 5 km of the coordinates.,"Probable - close match for the locality name in the gazetteer or map, with possible, although unlikely, ambiguity.",,,,,,,,,,,19-NW,19,NW,42.30163563,-71.12561522,2023-10-23,Good,,2023-10-20,61.2,C,,,,,,,,,,3.2,No
12907*G,12907,Juglandaceae,Carya,ovata,,Carya ovata var. ovata,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,"Carya ovata var. fraxinifolia, Carya ovata var. pubescens, Carya ovata var. nuttallii",Shagbark Hickory,Tree,12907,10-18-1883,Seed,"Carya alba, Hickoria [Hicoria] ovata, Carya ovata, C. ovata cf. var. fraxinifolia, C. ovata",Carya ov. var. ovata,var.,ovata,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C. E., Dawson, J. T.","129-153, 155-158",,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,Estimated,Within 5 km of the coordinates.,"Probable - close match for the locality name in the gazetteer or map, with possible, although unlikely, ambiguity.",,,,,,,,,,,19-NW,19,NW,42.30181554,-71.1256858,2023-10-23,Good,,2023-10-23,59.5,C,,,,,,,,,,3.2,No
161-2019*R,161-2019,Pinaceae,Pinus,nigra,,Pinus nigra,Accepted name,"Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,Pinus nigra austriaca,"Austrian Pine, Black Pine",Tree,161-2019,05-23-2019,Plant,Pinus nigra,P. nigra,,,From a cultivated plant not of known wild origin,XX,X,U,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,BBM4-SE,BBM4,SE,42.29911803,-71.11600907,2022-06-13,Fair,,2022-06-13,30.4,C,,,,,,,,,,6.1,No
17527*D,17527,Malvaceae,Tilia,americana,,Tilia americana,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"American Linden, American Basswood",Tree,17527,11-15-1897,Plant,"Tilia americana, Tilia glabra, Tilia americana",T. americana,,,From a cultivated plant not of known wild origin,XX,X,U,"Thos. Meehan &amp; Son, Germantown, PA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,7-NE,7,NE,42.3051232,-71.12189286,2019-09-16,Good,,2019-06-04,68.1,C,,,,,,,,,,1.16,No
187-2006*B,187-2006,Sapindaceae,Acer,saccharum,,Acer saccharum,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Acer saccharophorum, Aster saccharum",Sugar Maple,Tree,187-2006,04-26-2006,Plant,Acer saccharum,A. saccharum,,,Collected directly from the wild; origin known,XX,X,U,"Heritage Seedlings Nursery, Salem, OR, United States",,,,,,,,,United States,Pennsylvania,,From the hills around Pittsburgh.,,,,,,,,,,,,,,8-SE,8,SE,42.30431226,-71.12006593,2019-10-07,Fair,,2011-10-26,21.9,C,,,,,,,,,,1.6,No
22886*D,22886,Fagaceae,Quercus,alba,,Quercus alba,Accepted name,"Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,,"White Oak, Eastern White Oak, Stave Oak",Tree,22886,07-01-1950,Existing plant,Quercus alba,Q. alba,,,Uncertain origin,XX,X,U,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,31-NE,31,NE,42.29940788,-71.12438014,2017-12-31,Alive,,2017-10-17,87.2,C,,,,,,,,,,2.7,No
22947*C,22947,Hamamelidaceae,Hamamelis,virginiana,,Hamamelis virginiana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,Hamamelis macrophylla,Common Witch-hazel,Shrub,22947,07-01-1951,Unknown,Hamamelis virginiana,Ham. virg.,,,Uncertain origin,XX,X,U,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,25-SW,25,SW,42.29994906,-71.12512975,2017-10-17,Good,,2017-10-17,5.4,C,largest stem,,,,,,,,,2.7,No
285-2007*E,285-2007,Ericaceae,Vaccinium,corymbosum,,Vaccinium corymbosum,Accepted name,"Kloet, S.P.V. 1980. The Taxonomy of the Highbush Blueberry, Vaccinium Corymbosum. Canadian Journal of Botany 58:1187-1201.",,"Vaccinium simulatum, Vaccinium virgatum var. tenellum, Vaccinium elliottii, Vaccinium virgatum, Vaccinium amoenum",Highbush Blueberry,Shrub,285-2007,05-15-2007,Plant,Vaccinium corymbosum,Vacc. corymbosum,,,Collected directly from the wild; origin known,,,,"New England Wetland Plants, Inc., Amherst, MA, United States",,,,,,,,,United States,"Massachusetts, Amherst",,,,,,,,,,,,,,,,8-NW,8,NW,42.30474282,-71.12165296,2019-09-23,Good,,2019-09-23,,,,,1.1,M,,,,,,1.3,No
358-82*A,358-82,Fagaceae,Quercus,alba,,Quercus alba,Accepted name,"Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,,"White Oak, Eastern White Oak, Stave Oak",Tree,358-82,03-25-1982,Seed,Quercus alba,Q. alba,,,Collected directly from the wild; origin known,XX,X,SA,"Bamboo Aquatic Salon, Eco-Gardens, Decatur, GA, United States",,,,,,"Jacobs, D.",,,United States,"Georgia, Decatur",,,,,,,,,,,,,,,,32-NW,32,NW,42.29920928,-71.12373613,2017-12-31,Alive,,2017-10-18,38.4,C,,,,,,,,,,2.7,No
689-2010*A,689-2010,Sapindaceae,Acer,saccharum,,Acer saccharum,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Acer saccharophorum, Aster saccharum",Sugar Maple,Tree,689-2010,11-18-2010,Existing plant,Acer saccharum,A. saccharum,,,Uncertain origin,,,,"Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,62-NW,62,NW,42.2917509,-71.1278148,2021-07-28,Good,,2021-07-28,78.0,C,,,,,,,,,,4.4,No
6990*A,6990,Juglandaceae,Carya,glabra,,Carya glabra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,"Carya ovalis, Carya ovalis var. acuta, Carya ovalis var. hirsuta, Carya ovalis var. obcordata, Carya ovalis var. obovalis, Carya ovalis var. odorata, Carya glabra var. megacarpa, Carya glabra var. hirsuta, Carya leiodermis",Pignut,Tree,6990,12-29-1909,Seed,"Carya sp., Carya porcina acuta, Carya ovalis obovalis acuta, Carya ovalis var. acuta, Carya ovalis",Carya glabra,,,Collected directly from the wild; origin known,S,X,SA,"Highland Park Herbarium, Rochester, NY, United States",,,,,,"Slavin, B. H.",4,,United States,"New York, [Monroe County], Rochester",,Seneca Park [Retro-classified with accuracy of 2 km.],Estimated,Within 5 km of the coordinates.,"Probable - close match for the locality name in the gazetteer or map, with possible, although unlikely, ambiguity.",,,,,,,,,"[Seneca Park is an Olmstedian landscape designed to preserve and allow access to a forested gorge along the Genesee River, hence this collection has been interpreted as wild - JRD 5 NOV 2010].",,25-SW,25,SW,42.30020379,-71.12586584,2023-10-25,Good,,2023-10-25,45.7,C,,,,,,,,,,3.2,No
8197*A,8197,Fagaceae,Quercus,rubra,,Quercus rubra,Accepted name,"Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,"Quercus rubra var. rubra, Quercus rubra var. borealis, Quercus rubra var. maxima, Quercus borealis, Quercus borealis var. maxima",Northern Red Oak,Tree,8197,07-01-1916,Seed,"Quercus shumardii, Quercus borealis maxima, Quercus rubra maxima",Q. rubra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,,United States,Tennessee,,,,,,,,,,,,,,,,25-SE,25,SE,42.2999685,-71.12424385,2017-12-31,Alive,,2017-10-17,66.2,C,,,,,,,,,,2.7,No
12651*H,12651,Sapindaceae,Aesculus,flava,,Aesculus flava,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp.",,"Aesculus octandra, Aesculus octandra forma vestita, Aesculus octandra forma virginica","Yellow Buckeye, Sweet Buckeye",Tree,12651,07-01-1906,Seed,Aesculus octandra f. vestita,Aesc. flava,,,Collected directly from the wild; origin known,,,,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,07-01-1906,United States,"North Carolina, Buncombe County",,Craggy Mt.,,,,,,,,,,,,,,11-NW,11,NW,42.3035604,-71.12143904,2019-09-17,Fair,,2019-09-17,49.1,C,,,,,,,,,"Michener, D., 01 Jan 1987, Aesculus flava, 2",1.15,No
12651*I,12651,Sapindaceae,Aesculus,flava,,Aesculus flava,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp.",,"Aesculus octandra, Aesculus octandra forma vestita, Aesculus octandra forma virginica","Yellow Buckeye, Sweet Buckeye",Tree,12651,07-01-1906,Seed,Aesculus octandra f. vestita,Aesc. flava,,,Collected directly from the wild; origin known,,,,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,07-01-1906,United States,"North Carolina, Buncombe County",,Craggy Mt.,,,,,,,,,,,,,,57-NE,57,NE,42.2931417,-71.12879258,2021-07-15,Good,,2021-07-15,61.1,C,,,,,,,,,,4.3,No
12843*E,12843,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis,Accepted name,"Little, E.L.Jr. 1953. Check List of Native and Naturalized Trees of the United States (Including Alaska). (Agricultural Handbook No. 41). Washington, D.C.: U. S. Forest Service. 472 pp.",,"Betula lutea var. alleghaniensis, Betula lutea",Yellow Birch,Tree,12843,10-15-1900,Plant,"Betula lutea, B. alleghaniensis",Bet. alleghan.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Maine, Bar Harbor",,,,,,,,,,,,,,,,14-SW,14,SW,42.30194577,-71.12374252,2017-12-31,Alive,,2017-06-29,56.2,C,at ca. 1m,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula alleghaniensis, 3",2.10,No
